Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TriangleServiceGoodAPI, [value_a:100, value_b:0, value_c:100]))",,,2561-11-11 20:26:33,2561-11-11 20:26:33,0.367s,PASSED
verifyResponseStatusCode,,,2561-11-11 20:26:33,2561-11-11 20:26:33,0.004s,PASSED
verifyElementPropertyValue,,,2561-11-11 20:26:33,2561-11-11 20:26:33,0.025s,FAILED
,,,,,,
Test Cases/Api/Good-API/TC011_Out of range,,"a = 100
b = 100
c = 100",2561-11-11 20:26:35,2561-11-11 20:26:38,2.576s,FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TriangleServiceGoodAPI, [value_a:100, value_b:100, value_c:0]))",,,2561-11-11 20:26:35,2561-11-11 20:26:36,0.380s,PASSED
verifyResponseStatusCode,,,2561-11-11 20:26:36,2561-11-11 20:26:36,0.004s,PASSED
verifyElementPropertyValue,,,2561-11-11 20:26:36,2561-11-11 20:26:36,0.018s,FAILED
,,,,,,
Test Cases/Api/Good-API/TC012_Out of range,,a = 201 b = 200 c = 200,2561-11-11 20:26:38,2561-11-11 20:26:40,2.509s,FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TriangleServiceGoodAPI, [value_a:201, value_b:100, value_c:100]))",,,2561-11-11 20:26:38,2561-11-11 20:26:38,0.296s,PASSED
verifyResponseStatusCode,,,2561-11-11 20:26:38,2561-11-11 20:26:38,0.001s,PASSED
verifyElementPropertyValue,,,2561-11-11 20:26:38,2561-11-11 20:26:38,0.019s,FAILED
,,,,,,
Test Cases/Api/Good-API/TC013_Out of range,,"a = 100
b = 100
c = 100",2561-11-11 20:26:40,2561-11-11 20:26:43,2.517s,FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TriangleServiceGoodAPI, [value_a:100, value_b:201, value_c:100]))",,,2561-11-11 20:26:40,2561-11-11 20:26:41,0.309s,PASSED
verifyResponseStatusCode,,,2561-11-11 20:26:41,2561-11-11 20:26:41,0.001s,PASSED
verifyElementPropertyValue,,,2561-11-11 20:26:41,2561-11-11 20:26:41,0.016s,FAILED
,,,,,,
Test Cases/Api/Good-API/TC014_Out of range,,"a = 100
b = 100
c = 100",2561-11-11 20:26:43,2561-11-11 20:26:45,2.640s,FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TriangleServiceGoodAPI, [value_a:100, value_b:100, value_c:201]))",,,2561-11-11 20:26:43,2561-11-11 20:26:43,0.379s,PASSED
verifyResponseStatusCode,,,2561-11-11 20:26:43,2561-11-11 20:26:43,0.000s,PASSED
verifyElementPropertyValue,,,2561-11-11 20:26:43,2561-11-11 20:26:43,0.022s,FAILED
